file_number,timestamp_sec,timestamp_hours,timestamp_days,n_persistence_pixels,persistence_fraction,persistence_strength,persistence_max,diff_mean,diff_std
73,51840,14.4,0.6,105,6.283006728681339e-06,3189.908,233618.02,0.017281044,58.69979
74,52560,14.6,0.6083333333333333,108,6.462521206643663e-06,1752.8928,233618.02,0.008524107,58.115467
75,53280,14.8,0.6166666666666667,97,5.804301454115142e-06,191.24478,240762.45,-0.001848624,77.49445
76,54000,15.0,0.625,60,3.5902895592464795e-06,-10824.756,324554.5,-0.041960683,109.39696
77,54720,15.2,0.6333333333333333,147,8.796209420153875e-06,-913.1691,140992.69,-0.011150504,47.00909
78,55440,15.4,0.6416666666666667,111,6.642035684605987e-06,1936.9661,206739.6,0.0099498285,60.387867
79,56160,15.6,0.65,108,6.462521206643663e-06,634.61566,205194.56,0.0011141006,62.445255
80,56880,15.8,0.6583333333333333,92,5.505110657511269e-06,119.416214,233618.02,-0.002448498,75.81087
81,57600,16.0,0.6666666666666666,91,5.445272498190494e-06,4015.3396,233618.02,0.01897566,65.17965
82,58320,16.2,0.675,93,5.564948816832044e-06,-544.18353,233618.02,-0.006255238,70.69898
83,59040,16.4,0.6833333333333333,91,5.445272498190494e-06,5535.436,200870.52,0.0268985,80.99622
84,59760,16.6,0.6916666666666667,42,2.5132026914725356e-06,-21347.355,930436.44,-0.056822784,236.21973
85,60480,16.8,0.7,90,5.385434338869719e-06,2145.5112,342766.8,0.00809282,86.33516
86,61200,17.0,0.7083333333333334,105,6.283006728681339e-06,-52.74599,233618.02,-0.0036146063,70.16445
87,61920,17.2,0.7166666666666667,105,6.283006728681339e-06,427.65646,209333.14,-0.00079299876,61.31402
88,62640,17.4,0.725,103,6.16333041003979e-06,1871.1105,233618.02,0.007975832,62.01629
89,63360,17.6,0.7333333333333333,122,7.300255437134508e-06,2269.5476,203140.58,0.013248274,53.90985
90,64080,17.8,0.7416666666666667,79,4.727214586341198e-06,-112.735725,265307.47,-0.004261711,86.12765
91,64800,18.0,0.75,103,6.16333041003979e-06,2958.2676,233618.02,0.014621527,63.065907
92,65520,18.2,0.7583333333333333,99,5.923977772756692e-06,3029.9788,233618.02,0.014218311,60.544716
93,66240,18.4,0.7666666666666667,103,6.16333041003979e-06,516.253,219434.8,-0.0004661991,61.91686
94,66960,18.6,0.775,109,6.522359365964438e-06,1513.8679,233618.02,0.006166857,61.88264
95,67680,18.8,0.7833333333333333,109,6.522359365964438e-06,267.94604,233618.02,-0.0017680324,64.88284
96,68400,19.0,0.7916666666666666,103,6.16333041003979e-06,724.6249,216581.88,0.00075804244,62.494797
97,69120,19.2,0.8,57,3.4107750812841556e-06,9369.632,541550.5,0.028514415,141.82748
98,69840,19.4,0.8083333333333333,99,5.923977772756692e-06,1026.0079,233618.02,0.0021777407,63.34455
99,70560,19.6,0.8166666666666667,67,4.009156674491902e-06,-5444.0464,390790.12,-0.025790835,114.16864
100,71280,19.8,0.825,98,5.864139613435917e-06,-879.92346,203896.4,-0.008802178,60.725075
101,72000,20.0,0.8333333333333334,109,6.522359365964438e-06,1.2213953,233618.02,-0.0041513355,61.726852
102,72720,20.2,0.8416666666666667,136,8.137989667625354e-06,1543.6693,172410.42,0.008635535,44.856033
103,73440,20.4,0.85,105,6.283006728681339e-06,1454.3401,233618.02,0.0050807092,65.01904
104,74160,20.6,0.8583333333333333,19,1.1369250270947185e-06,-144872.2,2.5788332e+06,-0.16934489,639.64905
105,74880,20.8,0.8666666666666667,124,7.4199317557760575e-06,-258.24564,207509.84,-0.0059393435,58.299088
106,75600,21.0,0.875,79,4.727214586341198e-06,3459.282,233618.02,0.012172909,87.39278
107,76320,21.2,0.8833333333333333,87,5.205919860907395e-06,-923.48224,233618.02,-0.009130538,74.0604
108,77040,21.4,0.8916666666666667,99,5.923977772756692e-06,771.68835,233618.02,0.00043873477,63.91554
